Follower Athlete ID,Follow Status,Created At
121176654,Accepted,"Aug 29, 2023, 4:20:22 PM"
61438163,Accepted,"Sep 2, 2023, 4:11:51 PM"
52594034,Accepted,"Sep 4, 2023, 5:13:04 PM"
51891242,Accepted,"Sep 5, 2023, 12:35:48 PM"
117109869,Accepted,"Sep 7, 2023, 11:51:51 PM"
40524725,Accepted,"Sep 8, 2023, 12:02:43 AM"
119194141,Accepted,"Sep 11, 2023, 7:35:53 PM"
46855954,Accepted,"Sep 15, 2023, 3:45:40 AM"
123978900,Accepted,"Sep 28, 2023, 5:05:07 PM"
125232869,Accepted,"Sep 28, 2023, 5:13:46 PM"
89520292,Accepted,"Sep 30, 2023, 3:42:12 PM"
72452900,Accepted,"Oct 28, 2023, 11:16:19 PM"
27688947,Accepted,"Oct 29, 2023, 9:57:34 PM"
105087224,Accepted,"Nov 18, 2023, 4:32:50 AM"
87524001,Accepted,"Nov 29, 2023, 9:01:44 PM"
104344047,Accepted,"Dec 17, 2023, 1:36:27 AM"
118412716,Accepted,"Dec 26, 2023, 4:06:06 AM"
54299560,Accepted,"Mar 1, 2024, 5:46:48 PM"
40109316,Accepted,"Mar 12, 2024, 10:02:37 PM"
84327517,Accepted,"Mar 14, 2024, 4:18:54 AM"
106849442,Accepted,"Mar 21, 2024, 2:16:02 AM"
23741467,Accepted,"Mar 24, 2024, 5:43:36 AM"
119078314,Accepted,"Apr 11, 2024, 6:40:53 PM"
73704997,Accepted,"Apr 30, 2024, 2:11:44 AM"
127077072,Accepted,"Jun 10, 2024, 1:23:55 PM"
108197497,Accepted,"Jun 13, 2024, 2:36:20 AM"
68492935,Accepted,"Jun 13, 2024, 8:23:01 PM"
83418888,Accepted,"Jun 21, 2024, 1:30:21 PM"
119565242,Accepted,"Jun 23, 2024, 4:19:46 AM"
20572221,Accepted,"Jun 23, 2024, 7:45:40 AM"
68714685,Accepted,"Jun 25, 2024, 4:59:52 PM"
82469952,Accepted,"Jul 17, 2024, 12:05:33 AM"
81581172,Accepted,"Jul 31, 2024, 11:49:28 PM"
130621535,Accepted,"Aug 8, 2024, 4:59:21 AM"
145195171,Accepted,"Aug 18, 2024, 5:55:33 AM"
65978939,Accepted,"Aug 20, 2024, 3:08:57 PM"
74530628,Accepted,"Aug 23, 2024, 1:43:39 PM"
70653952,Accepted,"Sep 1, 2024, 1:13:34 PM"
32111484,Accepted,"Sep 6, 2024, 11:24:10 PM"
140677362,Accepted,"Sep 12, 2024, 10:22:59 PM"
117556051,Accepted,"Sep 16, 2024, 2:53:49 PM"
47966468,Accepted,"Sep 24, 2024, 3:28:32 PM"
62109571,Accepted,"Oct 13, 2024, 2:53:24 AM"
65663467,Accepted,"Oct 19, 2024, 7:48:29 PM"
148034288,Accepted,"Nov 16, 2024, 10:05:25 PM"
56237416,Accepted,"Nov 21, 2024, 2:44:58 AM"
71614915,Accepted,"Jan 15, 2025, 2:23:13 AM"
71469462,Accepted,"Jan 17, 2025, 4:28:03 PM"
141407931,Accepted,"Jan 23, 2025, 5:48:30 PM"
159318917,Accepted,"Feb 19, 2025, 12:48:33 AM"
