Comment Date,Comment
"Aug 12, 2022, 7:44:11 PM",crunchy 
"Aug 12, 2022, 9:32:25 PM",Not 7:30
"Aug 13, 2022, 2:52:48 PM",🧱???
"Aug 15, 2022, 2:01:12 PM",bruh
"Aug 15, 2022, 2:01:24 PM",bruh
"Aug 15, 2022, 2:14:23 PM",neltoid
"Aug 16, 2022, 1:16:22 PM",No Beavers?
"Aug 17, 2022, 11:20:46 PM",W
"Aug 17, 2022, 11:21:15 PM",in California=L
"Aug 18, 2022, 3:53:11 PM",NJ < CA
"Aug 18, 2022, 3:56:52 PM",crazy 
"Aug 20, 2022, 3:54:16 PM",skill issue 
"Aug 22, 2022, 2:55:22 PM",he uses Arch btw
"Aug 23, 2022, 1:30:39 PM",Alpha
"Aug 23, 2022, 1:30:50 PM",oops
"Aug 23, 2022, 2:35:02 PM",uh oh sleepy
"Aug 24, 2022, 12:40:15 PM",Gaurav is back! Celebrate with kudos
"Aug 25, 2022, 1:14:45 PM",words of wisdom 
"Aug 26, 2022, 9:46:59 PM",neltoid 
"Aug 30, 2022, 12:25:17 PM",rocket league moment 
"Sep 2, 2022, 11:45:45 AM",me neither 
"Sep 3, 2022, 5:11:39 PM",nope
"Sep 4, 2022, 1:24:25 PM",no
"Sep 9, 2022, 2:04:27 PM",clopen
"Sep 9, 2022, 10:36:29 PM",nope
"Sep 11, 2022, 10:36:43 AM",not if you optimize happiness smh
"Sep 12, 2022, 3:22:21 PM",L
"Sep 12, 2022, 10:44:46 PM",iron neen
"Sep 13, 2022, 5:34:38 PM",Nice
"Sep 14, 2022, 1:34:30 AM",no
"Sep 14, 2022, 1:36:36 AM",okay Bobby 
"Sep 14, 2022, 10:29:29 PM",I've left Ohio 🙏
"Sep 16, 2022, 9:49:21 AM",good Joseph Lee 
"Sep 16, 2022, 3:10:35 PM",glad you didn't mention it
"Sep 16, 2022, 9:52:32 PM",yes
"Sep 16, 2022, 11:47:38 PM",not liquid 
"Sep 18, 2022, 1:13:43 PM",🦴
"Sep 18, 2022, 1:14:37 PM",8:14
"Sep 21, 2022, 2:33:20 PM",baylands is a cursed course 
"Sep 21, 2022, 10:58:14 PM",I got you 
"Sep 21, 2022, 10:59:27 PM",repeats?
"Sep 21, 2022, 11:00:08 PM",false
"Sep 22, 2022, 5:26:08 PM",🧱
"Sep 23, 2022, 10:17:27 PM",W
"Sep 24, 2022, 7:39:40 PM",I also wonder why
"Sep 25, 2022, 12:18:22 AM",Lovely run isn't it
"Sep 25, 2022, 12:19:39 AM",stupid route
"Sep 25, 2022, 7:12:23 PM",right angles only
"Sep 26, 2022, 10:05:24 PM",No appendix?
"Sep 29, 2022, 6:03:09 PM",sorry to hear that
"Sep 29, 2022, 9:39:18 PM",did you win?
"Sep 30, 2022, 6:53:07 PM",kudos before description 
"Sep 30, 2022, 6:55:57 PM",no
"Sep 30, 2022, 6:56:28 PM",man
"Sep 30, 2022, 10:11:16 PM",bro just make it a loop
"Oct 4, 2022, 2:32:47 PM",traitor 
"Oct 6, 2022, 2:43:03 PM",nice 
"Oct 8, 2022, 2:40:26 AM",who is Michael 
"Oct 8, 2022, 2:40:52 AM",you literally just ran an 800 smh 
"Oct 9, 2022, 2:28:16 AM",man
"Oct 9, 2022, 2:28:50 AM","no guidance, navigation, and control for you "
"Oct 9, 2022, 2:29:00 AM",bolo
"Oct 10, 2022, 5:18:12 PM",line
"Oct 15, 2022, 6:49:58 PM",man
"Oct 20, 2022, 12:16:23 AM",:(
"Oct 24, 2022, 11:00:37 PM",not that washed
