Following Athlete ID,Follow Status,Created At
108069564,Accepted,"Sep 12, 2022, 3:18:43 PM"
107025137,Accepted,"Sep 24, 2022, 9:11:45 PM"
69932083,Accepted,"Sep 25, 2022, 2:42:52 PM"
109144954,Accepted,"Jan 27, 2023, 8:18:28 PM"
5683439,Accepted,"Feb 12, 2023, 3:22:57 PM"
43962377,Accepted,"Feb 26, 2023, 1:19:44 PM"
49067715,Accepted,"Mar 19, 2023, 4:04:33 PM"
19381455,Accepted,"Jun 2, 2023, 10:53:51 PM"
46746285,Accepted,"Jul 15, 2023, 4:51:31 PM"
61629858,Accepted,"Aug 29, 2023, 12:09:36 PM"
121176654,Accepted,"Aug 29, 2023, 4:20:28 PM"
62449664,Accepted,"Aug 30, 2023, 1:07:05 PM"
61438163,Accepted,"Sep 2, 2023, 10:00:40 PM"
52594034,Accepted,"Sep 4, 2023, 5:28:36 PM"
51891242,Accepted,"Sep 5, 2023, 1:22:58 PM"
40524725,Accepted,"Sep 8, 2023, 2:08:13 AM"
119194141,Accepted,"Sep 11, 2023, 8:12:16 PM"
46855954,Accepted,"Sep 15, 2023, 2:27:20 PM"
85731653,Pending,"Sep 22, 2023, 1:55:13 AM"
123978900,Accepted,"Sep 24, 2023, 11:31:23 PM"
125232869,Accepted,"Sep 28, 2023, 5:28:28 PM"
89520292,Accepted,"Sep 30, 2023, 4:25:25 PM"
53557515,Accepted,"Oct 12, 2023, 7:18:43 PM"
72452900,Accepted,"Oct 28, 2023, 11:53:18 PM"
31060759,Accepted,"Nov 18, 2023, 8:10:49 PM"
87524001,Accepted,"Nov 30, 2023, 2:42:36 AM"
113197369,Accepted,"Dec 5, 2023, 1:34:41 AM"
104344047,Accepted,"Dec 16, 2023, 11:42:21 PM"
118412716,Accepted,"Dec 26, 2023, 5:04:35 PM"
112294463,Accepted,"Feb 15, 2024, 2:42:20 AM"
112004180,Accepted,"Mar 3, 2024, 11:15:11 PM"
47501189,Accepted,"Mar 10, 2024, 2:33:49 AM"
84327517,Accepted,"Mar 12, 2024, 9:48:50 PM"
40109316,Accepted,"Mar 12, 2024, 9:48:53 PM"
106849442,Accepted,"Mar 21, 2024, 2:08:07 AM"
74530628,Accepted,"Apr 10, 2024, 6:58:25 PM"
119078314,Accepted,"Apr 11, 2024, 7:55:25 PM"
20572221,Accepted,"Apr 15, 2024, 3:20:42 AM"
73704997,Accepted,"May 1, 2024, 3:24:41 PM"
127077072,Accepted,"Jun 11, 2024, 2:55:24 AM"
108197497,Accepted,"Jun 13, 2024, 3:09:00 AM"
68492935,Accepted,"Jun 14, 2024, 2:47:35 PM"
83418888,Accepted,"Jun 18, 2024, 2:50:07 PM"
81581172,Accepted,"Jul 31, 2024, 3:49:55 PM"
145195171,Accepted,"Aug 17, 2024, 7:39:29 PM"
65978939,Accepted,"Aug 20, 2024, 3:37:32 PM"
70653952,Accepted,"Sep 1, 2024, 9:23:32 PM"
32111484,Accepted,"Sep 7, 2024, 4:54:30 PM"
140677362,Accepted,"Sep 13, 2024, 1:01:38 AM"
22688626,Accepted,"Sep 19, 2024, 3:22:29 PM"
71469462,Pending,"Sep 19, 2024, 3:22:33 PM"
47966468,Accepted,"Sep 24, 2024, 3:19:26 PM"
82469952,Accepted,"Oct 12, 2024, 9:18:05 PM"
65663467,Accepted,"Oct 12, 2024, 9:18:53 PM"
62109571,Accepted,"Oct 12, 2024, 9:19:23 PM"
